br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00064071;MSG;04-01-001;"AUDI ; FORD ; SEAT ; SKODA ; VW";"454231-0002 ; 454231-0006 ; 454231-0008 ; 454231-0009 ; 454232-0002 ; 454232-0006 ; 454232-0008 ; 454232-0010 ; 454232-0011 ; 701470-0002 ; 701854-0002 ; 701854-0003 ; 701855-0002 ; 701855-0004 ; 701855-0006 ; 703863-0002 ; 704226-0007 ; 708639-0002 ; 708639-0003 ; 708639-0004 ; 708639-0005 ; 708639-0006 ; 708639-0007 ; 708639-0008 ; 708639-0010 ; 712077-0001 ; 712766-0001 ; 712766-0002 ; 712968-0001 ; 712968-0002 ; 712968-0003 ; 712968-0004 ; 712968-0005 ; 712968-0006 ; 713517-0007 ; 713517-0008 ; 713517-0009 ; 713517-0010 ; 713517-0011 ; 713517-0012 ; 713517-0015 ; 713517-0014 ; 713673-0001 ; 713673-0002 ; 713673-0003 ; 713673-0004 ; 713673-0005 ; 713673-0006 ; 714467-0003 ; 714467-0004 ; 714467-0005 ; 714467-0007 ; 714467-0008 ; 714467-0013 ; 714467-0014 ; 715294-0001 ; 716213-0001 ; 716215-0001 ; 716419-0002 ; 716665-0001 ; 716665-0002 ; 716860-0001 ; 716860-0002 ; 716860-0003 ; 717858-0001 ; 717858-0002 ; 717858-0003 ; 717858-0004 ; 717858-0005 ; 717858-0006 ; 717858-0007 ; 717858-0008 ; 717858-0009 ; 720855-0001 ; 720855-0002 ; 720855-0003 ; 720855-0004 ; 720855-0005 ; 720855-0006 ; 721021-0001 ; 721021-0003 ; 721021-0004 ; 721021-0005 ; 721021-0006 ; 721164-0003 ; 721164-0004 ; 721164-0005 ; 721164-0009 ; 721164-0010 ; 721164-0011 ; 721164-0012 ; 721164-0013 ; 721164-0014 ; 721875-0005 ; 722730-0001 ; 724930-0002 ; 724930-0004 ; 724930-0008 ; 724930-0009 ; 725844-0001 ; 728480-0001 ; 728480-0009 ; 728480-0010 ; 728480-0011 ; 728480-0012 ; 728480-0013 ; 729041-0009 ; 729325-0002 ; 729325-0003 ; 729853-0002 ; 742614-0001 ; 742614-0002 ; 742614-0003 ; 751851-0001 ; 751851-0002 ; 751851-0003 ; 755507-0001 ; 755507-0002 ; 755507-0003 ; 755507-0004 ; 755507-0006 ; 755507-0007 ; 755507-0008 ; 755507-0009 ; 756062-0001 ; 756062-0002 ; 758219-0001 ; 758219-0002 ; 758219-0003 ; 760680-0002 ; 760680-0003 ; 760680-0004 ; 760680-0005 ; 761437-0001 ; 761437-0003 ; 761437-0005 ; 761437-0006 ; 761618-0001 ; 761618-0002 ; 761618-0003 ; 801891-0001 ; 801891-0002 ; 801891-0003 ; 801891-0004 ; 729325-5004S ; 728680-0010 ; 724930-5009S ; 724930-0006 ; 717858-5008S ; 717858-9009S ; 717858-5009S ; 802418-0002 ; 8972873794 ; 28231-27900 ; 17201-27030A ; 17201-27030-A ; 17201-27040 ; 6280960699 ; 8972873792 ; 8200110519 ; 13900-67JH1 ; 8200475873-C ; 12701-70040 ; 713517-0016 ; 454231-0010 ; 701470-0001 ; 721875-0001 ; 728680-0001 ; 728680-0002 ; 728680-0003 ; 728680-0004 ; 728680-0005 ; 728680-0006 ; 728680-0007 ; 728680-0008 ; 728680-0009 ; 728680-0011 ; 728680-0012 ; 728680-0013 ; 724930-0010 ; 714467-0010 ; 714467-0012 ; 741785-0010 ; 741785-0013 ; 741785-0014 ; 741785-0016 ; 741785-5016 ; 760680-0001 ; 756062-0003 ; 802418-0001 ; 725864-0001";Cопловой аппарат (геометрия) GARRETT GT1646V/GT1746V AUDI A4 (8D2, B5) 95-00,A4 (8E2, B6) 00-04,A4 (;"3000-016-017 ; N1";2;3 556,00
01-00064076;MSG;04-01-002;"BMW ; LAND ROVER ; NISSAN ; OPEL";"454191-0001 ; 454191-0003 ; 454191-0004 ; 454191-0005 ; 454191-0006 ; 454191-0007 ; 454191-0008 ; 454191-0009 ; 454191-0010 ; 454191-0011 ; 454191-0012 ; 454191-0013 ; 454191-0015 ; 705954-0004 ; 705954-0012 ; 705954-0013 ; 705954-0014 ; 705954-0015 ; 705954-0017 ; N14";Cопловой аппарат (геометрия) GARRETT GT2556V BMW 1 (E81) 06-12,1 (E87) 03-12,3 (E36) 91-98,3 (E46) 9;"3000-016-011B ; N14";1;4 113,00
01-00064073;MSG;04-05-002;VW;"49377-07401 ; 49377-07402 ; 49377-07403 ; 49377-07404 ; 49377-07405 ; 49377-07406 ; 49377-07440 ; 49377-07515 ; N11";Cопловой аппарат (геометрия) MITSUBISHI TD04L-13T-VG/TD04L4-VG VW CRAFTER 30-35 автобус (2E_) 06-11,;"3000-016-038B ; N11";2;5 701,00
01-00064072;MSG;04-05-001;VW;"49377-07423 ; N10";Cопловой аппарат (геометрия) MITSUBISHI TD04L4-VG VW CRAFTER 30-35 автобус (2E_) 06-11,CRAFTER 30-50;"3000-016-042 ; N10";2;6 167,00
01-00064074;MSG;04-05-003;FORD;"49377-00500 ; 49377-00510 ; N11-2";Cопловой аппарат (геометрия) MITSUBISHI TD04VG-1 FORD TRANSIT c бортовой платформой/ходовая часть (F;"3000-016-038 ; N11-2";3;6 265,00
01-00064084;MSG;04-05-004;HYUNDAI;"49135-07300 ; 49135-07302 ; 49135-07311 ; 49135-07312 ; N51";Cопловой аппарат (геометрия) MITSUBISHI TF035VG-3 HYUNDAI GRANDEUR (TG) 06-,SANTA FE II (CM) 06-;"3000-016-027D ; N51";1;5 960,00
01-00064797;MSG;05-01-014;NISSAN;"705954-0004 ; 705954-0006";Актуатор GARRETT GT2052V NISSAN PATROL GR II Wagon (Y61) 00-;2060-016-106;1;1 029,00
01-00063922;MSG;01-01-005;"ALFA ROMEO ; FIAT";"784844-0001 ; 784844-5001S ; 807048-0001 ; 807048-0002 ; 807048-5001S ; 766891-0001 ; 766891-5001S ; 807048-5002S ; 807068-0002 ; 807068-0001 ; 55209152 ; GT14-001";Картридж турбины (отбалансированный) GARRETT GT1446SZ ALFA ROMEO GIULIETTA (940) 10-;"1000-010-458 ; GT14-001";1;7 650,00
01-00063930;MSG;01-01-014;"FIAT ; LANCIA ; PEUGEOT ; SUZUKI";"9644384280 ; ZY34027402 ; 713667-0002 ; 713667-0003 ; 713667-0001 ; 734204-0001 ; 9637861280 ; GT15-015";Картридж турбины (отбалансированный) GARRETT GT1549S FIAT SCUDO Combinato (220P) 99-06,ULYSSE (179AX;"1000-010-182 ; GT15-015";1;5 805,00
01-00063946;MSG;01-01-030;"NISSAN ; OPEL ; RENAULT";"762785-0001 ; 762785-0002 ; 762785-0003 ; 762785-0004 ; 8200637628 ; GT15-063";Картридж турбины (отбалансированный) GARRETT GT1549S NISSAN PRIMASTAR автобус (X83) 06-,PRIMASTAR фу;"1000-010-319 ; GT15-063";3;6 924,00
