br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00000023;MSG;ME005TANK;MERCEDES-BENZ;;Бачок насоса ГУР MERCEDES-BENZ C-CLASS (W203) 03-07, SPRINTER 00-06,MERCEDES Vito W939 20;;3;542,00
01-00056673;MSG;FO044SHAFT;"FORD ; VOLVO";;Вал насоса ГУ  FORD C-MAX 07-,FOCUS C-MAX 03-07,FOCUS II (DA_) 04-,VOLVO C30 06-,VOLVO S40 II 05-;;2;339,00
01-00055126;MSG;AU017SHAFT;"ALFA ROMEO ; AUDI ; BMW ; PORSCHE ; RENAULT ; VW";;Вал насоса ГУР ALFA ROMEO 159 (939) 09-11,159 Sportwagon (939) 09-11,BRERA 08-,SPIDER (939) 09-;;1;406,00
01-00055742;MSG;TY003SHAFT;"LEXUS ; TOYOTA";"44312-06010 ; 44312-32020";"Вал насоса ГУР LEXUS RX (MCU15) 00-03,RX (MHU3_, GSU3_, MCU3_) 03-08;TOYOTA CAMRY (_CV1_, _XV1_";;1;372,00
01-00026239;MSG;VW006SHAFT;VW;;Вал насоса ГУР VW MULTIVAN V (7HM, 7HN, 7HF, 7EF, 7EM, 7EN) 03-09,TOUAREG (7LA, 7L6, 7L7) 02-10;;1;402,00
01-00029968;MSG;VW021BUSH;"AUDI ; FORD ; KIA ; MAZDA ; MITSUBISHI ; VW";;Втулка насоса ГУ 17,00/20,00/19,00 AUDI,FORD,VW;;2;271,00
01-00055184;MSG;ME007PLUG;MERCEDES-BENZ;;Заглушка высокого давления MERCEDES-BENZ S-CLASS (W220) 98-05,S-CLASS (C215) 99-06;;1;542,00
01-00055185;MSG;ME031PLUG;"MERCEDES-BENZ ; PORSCHE";;Заглушка высокого давления MERCEDES-BENZ S-CLASS (W221) 05-,S-CLASS (C216) 06-,PORSCHE CAYENNE 07-;;1;542,00
01-00041326;MSG;VW025VALVE;"SUBARU ; VW";;Клапан насоса ГУ VW AMAROK 10-, TRANSPORTER V 09-;;3;339,00
01-00055125;MSG;AU017VALVE;"ALFA ROMEO ; AUDI ; BMW ; PORSCHE ; RENAULT ; VW";;Клапан насоса ГУР ALFA ROMEO,AUDI,BMW,RENAULT,VW;;2;305,00
01-00055121;MSG;AU001VALVE;"AUDI ; BMW ; MERCEDES-BENZ ; OPEL ; VW";;Клапан насоса ГУР AUDI,BMW,MERCEDES-BENZ,OPEL,VW;7723442453;2;318,00
01-00026243;MSG;VW021VALVE;"AUDI ; FORD ; KIA ; MAZDA ; MITSUBISHI ; VW";;Клапан насоса ГУР AUDI,FORD,KIA,MITSUBISHI,VW;;1;203,00
01-00055744;MSG;BW007VALVE;BMW;;Клапан насоса ГУР BMW;;4;372,00
01-00055748;MSG;HO001VALVE;HONDA;;Клапан насоса ГУР HONDA;;2;372,00
01-00055148;MSG;TY003VALVE;"LEXUS ; TOYOTA";"44330-26011 ; 44330-26021 ; 44330-26031 ; 44330-26041 ; 44330-26051 ; 44330-26061 ; 44330-06130 ; 44330-06140 ; 44330-06150 ; 44330-06160 ; 44330-06170 ; 44330-06180";Клапан насоса ГУР LEXUS,TOYOTA;;1;339,00
01-00026241;MSG;TY001VALVE;"CHEVROLET ; LEXUS ; TOYOTA";"44330-05070 ; 44330-05080 ; 44330-05050 ; 44330-05100 ; 44330-05110 ; 44330-05120";Клапан насоса ГУР LEXUS,TOYOTA;;2;183,00
01-00057820;MSG;SU005VALVE;"MITSUBISHI ; SUBARU";;Клапан насоса ГУР MITSUBISHI,SUBARU;;3;339,00
01-00092780;MSG;NI104DCKIT;NISSAN;;Комплект зубчатой передачи NISSAN NOTE (E11) 06- ,NISSA MICRA III (K12) 2003-,NISSAN TIIDA 2007-2014;;1;3 386,00
01-00056802;MSG;TY220DCKIT;"TOYOTA ; LEXUS";;"Комплект зубчатой передачиTOYOTA LAND CRUISER PRADO 02-10;LEXUS GX470 02-";;1;7 788,00
01-00029546;MSG;VW011VACUUM;VW;;Насос вакуумный VW LT 28-46 II  99-06,LT 28-46 II 99-06;;1;4 063,00
